rider_class,stage_class,mean,std,count,median
All Rounder,flat,15.441176470588236,28.2816714706976,102,8.0
All Rounder,hills,35.786764705882355,57.459216852539775,136,12.5
All Rounder,mount,67.4235294117647,88.9558981784136,85,17.0
Climber,flat,5.094202898550725,6.230239044938148,138,1.5
Climber,hills,21.668478260869566,45.98448165265008,184,7.0
Climber,mount,35.86086956521739,57.01998525548274,115,12.0
Sprinter,flat,38.97701149425287,63.58826681524148,174,2.5
Sprinter,hills,5.202586206896552,21.950897431414607,232,0.0
Sprinter,mount,2.0413793103448277,5.88651455785567,145,0.0
Unclassed,flat,5.740579710144927,19.801356177921974,690,0.0
Unclassed,hills,9.096739130434782,30.662584910653543,920,0.0
Unclassed,mount,2.951304347826087,7.9056541008705645,575,0.0
